event,path,timestamp
modified,/etc/init.d/whoopsie,2018-08-10T22:39:49
modified,/etc/rc3.d/S01whoopsie,2018-08-10T22:39:49
modified,/etc/rc1.d/K01whoopsie,2018-08-10T22:39:49
modified,/etc/rc2.d/S01whoopsie,2018-08-10T22:39:49
modified,/etc/deluser.conf,2018-09-15T22:14:19
modified,/etc/fonts/conf.avail/30-droid-noto-mono.conf,2018-12-04T12:21:32
modified,/etc/X11/fonts/misc/xfonts-base.alias,2019-02-21T13:50:43
modified,/etc/sgml/xml-core.cat,2019-02-27T00:18:49
modified,/etc/profile.d/cedilla-portuguese.sh,2019-08-13T09:20:26
modified,/etc/fonts/conf.avail/69-language-selector-zh-sg.conf,2019-08-13T09:20:26
modified,/etc/fonts/conf.avail/69-language-selector-zh-mo.conf,2019-08-13T09:20:26
modified,/etc/fonts/conf.avail/69-language-selector-zh-hk.conf,2019-08-13T09:20:26
modified,/etc/fonts/conf.avail/69-language-selector-zh-tw.conf,2019-08-13T09:20:26
modified,/etc/fonts/conf.avail/69-language-selector-zh-cn.conf,2019-08-13T09:20:26
modified,/etc/fonts/conf.avail/30-cjk-aliases.conf,2019-08-13T09:20:26
modified,/etc/fonts/conf.avail/99-language-selector-zh.conf,2019-08-13T09:20:26
modified,/etc/fonts/conf.avail/69-language-selector-ja.conf,2019-08-13T09:20:26
modified,/etc/fonts/conf.d/69-language-selector-zh-sg.conf,2019-08-13T09:20:26
modified,/etc/fonts/conf.d/69-language-selector-zh-mo.conf,2019-08-13T09:20:26
modified,/etc/fonts/conf.d/69-language-selector-zh-hk.conf,2019-08-13T09:20:26
modified,/etc/fonts/conf.d/69-language-selector-zh-tw.conf,2019-08-13T09:20:26
modified,/etc/fonts/conf.d/69-language-selector-zh-cn.conf,2019-08-13T09:20:26
modified,/etc/fonts/conf.d/30-cjk-aliases.conf,2019-08-13T09:20:26
modified,/etc/fonts/conf.d/99-language-selector-zh.conf,2019-08-13T09:20:26
modified,/etc/fonts/conf.d/69-language-selector-ja.conf,2019-08-13T09:20:26
modified,/etc/X11/cursors/whiteglass.theme,2019-08-25T09:27:03
modified,/etc/X11/cursors/core.theme,2019-08-25T09:27:03
modified,/etc/X11/cursors/handhelds.theme,2019-08-25T09:27:03
modified,/etc/X11/cursors/redglass.theme,2019-08-25T09:27:03
modified,/etc/ts.conf,2019-09-09T12:30:20
modified,/etc/logrotate.d/btmp,2019-10-14T12:10:31
modified,/etc/logrotate.d/wtmp,2019-10-14T12:10:31
modified,/etc/systemd/system/timers.target.wants/logrotate.timer,2019-10-14T12:10:31
modified,/etc/logrotate.d/apport,2019-11-11T21:57:56
modified,/etc/cron.daily/apport,2019-11-11T21:57:56
modified,/etc/default/apport,2019-11-11T21:57:56
modified,/etc/cron.daily/cracklib-runtime,2019-11-19T15:14:51
modified,/etc/cracklib/cracklib.conf,2019-11-19T15:14:51
modified,/etc/logcheck/ignore.d.paranoid/cracklib-runtime,2019-11-19T15:14:51
modified,/etc/systemd/system/sysinit.target.wants/setvtrgb.service,2019-11-27T14:34:42
modified,/etc/newt/palette,2019-12-18T16:12:28
modified,/etc/newt/palette.original,2019-12-18T16:12:28
modified,/etc/newt/palette.ubuntu,2019-12-18T16:12:28
modified,/etc/alternatives/newt-palette,2019-12-18T16:12:28
modified,/etc/default/amd64-microcode,2019-12-21T04:12:23
modified,/etc/ethertypes,2019-12-27T00:42:11
modified,/etc/fonts/conf.avail/67-smc-anjalioldlipi.conf,2020-01-01T09:59:39
modified,/etc/fonts/conf.d/67-smc-anjalioldlipi.conf,2020-01-01T09:59:39
modified,/etc/fonts/conf.avail/67-smc-dyuthi.conf,2020-01-01T10:56:58
modified,/etc/fonts/conf.d/67-smc-dyuthi.conf,2020-01-01T10:56:58
modified,/etc/fonts/conf.avail/67-smc-karumbi.conf,2020-01-01T11:08:33
modified,/etc/fonts/conf.d/67-smc-karumbi.conf,2020-01-01T11:08:33
modified,/etc/fonts/conf.avail/67-smc-keraleeyam.conf,2020-01-01T11:43:06
modified,/etc/fonts/conf.d/67-smc-keraleeyam.conf,2020-01-01T11:43:06
modified,/etc/fonts/conf.avail/65-0-smc-meera.conf,2020-01-01T11:53:43
modified,/etc/fonts/conf.d/65-0-smc-meera.conf,2020-01-01T11:53:43
modified,/etc/fonts/conf.avail/65-0-smc-rachana.conf,2020-01-01T13:47:13
modified,/etc/fonts/conf.d/65-0-smc-rachana.conf,2020-01-01T13:47:13
modified,/etc/fonts/conf.avail/67-smc-raghumalayalamsans.conf,2020-01-01T14:01:42
modified,/etc/fonts/conf.d/67-smc-raghumalayalamsans.conf,2020-01-01T14:01:42
modified,/etc/fonts/conf.avail/67-smc-uroob.conf,2020-01-01T14:33:12
modified,/etc/fonts/conf.d/67-smc-uroob.conf,2020-01-01T14:33:12
modified,/etc/fonts/conf.avail/67-smc-suruma.conf,2020-01-21T06:17:52
modified,/etc/fonts/conf.d/67-smc-suruma.conf,2020-01-21T06:17:52
modified,/etc/gnome/menus.blacklist,2020-03-11T14:10:23
modified,/etc/network/if-pre-up.d/wireless-tools,2020-03-21T15:50:00
modified,/etc/network/if-post-down.d/wireless-tools,2020-03-21T15:50:00
modified,/etc/fonts/conf.avail/65-0-fonts-gujr-extra.conf,2020-04-04T14:20:39
modified,/etc/fonts/conf.d/65-0-fonts-gujr-extra.conf,2020-04-04T14:20:39
modified,/etc/vdpau_wrapper.cfg,2020-04-09T14:45:23
modified,/etc/fonts/conf.avail/65-0-fonts-gubbi.conf,2020-04-15T08:15:18
modified,/etc/fonts/conf.d/65-0-fonts-gubbi.conf,2020-04-15T08:15:18
modified,/etc/fonts/conf.avail/65-0-fonts-pagul.conf,2020-04-27T08:16:25
modified,/etc/fonts/conf.d/65-0-fonts-pagul.conf,2020-04-27T08:16:25
modified,/etc/ucf.conf,2020-06-16T05:37:53
modified,/etc/fonts/conf.d/61-urw-gothic.conf,2020-06-16T12:21:45
modified,/etc/fonts/conf.d/61-urw-bookman.conf,2020-06-16T12:21:45
modified,/etc/fonts/conf.d/61-urw-nimbus-sans.conf,2020-06-16T12:21:45
modified,/etc/fonts/conf.d/61-urw-c059.conf,2020-06-16T12:21:45
modified,/etc/fonts/conf.d/61-urw-fallback-generics.conf,2020-06-16T12:21:45
modified,/etc/fonts/conf.d/61-urw-nimbus-roman.conf,2020-06-16T12:21:45
modified,/etc/fonts/conf.d/61-urw-nimbus-mono-ps.conf,2020-06-16T12:21:45
modified,/etc/fonts/conf.d/61-urw-d050000l.conf,2020-06-16T12:21:45
modified,/etc/fonts/conf.d/61-urw-z003.conf,2020-06-16T12:21:45
modified,/etc/fonts/conf.d/61-urw-fallback-backwards.conf,2020-06-16T12:21:45
modified,/etc/fonts/conf.d/61-urw-standard-symbols-ps.conf,2020-06-16T12:21:45
modified,/etc/fonts/conf.d/61-urw-p052.conf,2020-06-16T12:21:45
modified,/etc/security/capability.conf,2020-07-01T02:43:01
modified,/etc/pam.conf,2020-08-12T00:15:04
modified,/etc/pam.d/other,2020-08-12T00:15:04
modified,/etc/systemd/system/multi-user.target.wants/secureboot-db.service,2020-08-26T19:55:50
modified,/etc/logrotate.d/sane-utils,2020-09-10T17:11:29
modified,/etc/X11/Xsession.d/90atk-adaptor,2020-09-12T19:47:40
modified,/etc/environment.d/90atk-adaptor.conf,2020-09-12T19:47:40
modified,/etc/fonts/conf.avail/56-language-selector-ar.conf,2020-09-27T17:48:00
modified,/etc/fonts/conf.d/56-language-selector-ar.conf,2020-09-27T17:48:00
modified,/etc/X11/rgb.txt,2020-10-09T08:13:51
modified,/etc/X11/Xsession.options,2020-10-09T08:13:51
modified,/etc/X11/Xreset,2020-10-09T08:13:51
modified,/etc/X11/Xsession.d/35x11-common_xhost-local,2020-10-09T08:13:51
modified,/etc/X11/Xsession.d/40x11-common_xsessionrc,2020-10-09T08:13:51
modified,/etc/X11/Xsession.d/50x11-common_determine-startup,2020-10-09T08:13:51
modified,/etc/X11/Xsession.d/30x11-common_xresources,2020-10-09T08:13:51
modified,/etc/X11/Xsession.d/99x11-common_start,2020-10-09T08:13:51
modified,/etc/X11/Xresources/x11-common,2020-10-09T08:13:51
modified,/etc/X11/Xreset.d/README,2020-10-09T08:13:51
modified,/etc/mysql/my.cnf.fallback,2020-10-20T08:42:37
